"sound.files","selec","start","end"
"1_ch1.wav","1-1",15.1175809706455,15.1296143068003
"1_ch1.wav","1-2",18.565759556906,18.5848595613843
"1_ch1.wav","1-3",23.9202497012439,23.9446385958512
"1_ch1.wav","1-4",28.2382396025572,28.2463951600249
"1_ch1.wav","1-5",32.1841849721939,32.2071405331318
"1_ch1.wav","1-6",40.5493091557583,40.5661424930385
"1_ch1.wav","1-7",42.2613206682789,42.2832762289823
"1_ch2.wav","1-1",15.116114303635,15.1301365291449
"1_ch2.wav","1-2",18.563604000845,18.5849373391803
"1_ch2.wav","1-3",23.9152608111853,23.9461274850892
"1_ch2.wav","1-4",32.1938627522408,32.2082405333897
"1_ch2.wav","1-5",40.5524202675989,40.5686536047384
"1_ch2.wav","1-6",42.2620762240116,42.2839428958053
"1_ch3.wav","1-1",15.1166031926385,15.1306698626033
"1_ch3.wav","1-2",18.5622595560853,18.5822040052061
"1_ch3.wav","1-3",23.9168719226742,23.9469830408453
"1_ch3.wav","1-4",32.1889071955234,32.2081183111389
"1_ch3.wav","1-5",33.559207516813,33.5689408524285
"1_ch3.wav","1-6",40.5579869355707,40.5684869380326
"1_ch4.wav","1-1",15.1149031922399,15.1279365286291
"1_ch4.wav","1-2",18.5623706672225,18.5821595607512
"1_ch4.wav","1-3",23.9181052562967,23.9473274853705
"1_ch4.wav","1-4",32.1855516391811,32.2085960890287
"1_ch4.wav","1-5",33.5587186278095,33.5657297405645
"1_ch4.wav","1-6",40.5519536008228,40.5668091598615
"1_ch4.wav","1-7",42.2609540015263,42.2811095618076
"2_ch1.wav","1-1",24.9866832094806,25.0142943269773
"2_ch1.wav","1-2",26.5970613596863,26.6176391422231
"2_ch1.wav","1-3",30.0070177038534,30.0251065969257
"2_ch1.wav","1-4",33.7211741183721,33.7487519025277
"2_ch1.wav","1-5",36.7415748168921,36.7558414868582
"2_ch1.wav","1-6",37.7540083843683,37.7721528330089
"2_ch1.wav","1-7",39.302364298008,39.3259865256933
"2_ch2.wav","1-1",36.7398081498169,36.7484192629194
"2_ch2.wav","1-2",37.7479306051849,37.7712528328008
"2_ch3.wav","1-1",26.5996280269466,26.6173724754947
"2_ch3.wav","1-2",30.0163510393452,30.0226843741433
"2_ch3.wav","1-3",36.7352748154351,36.7505525967462
"2_ch3.wav","1-4",37.7492528277129,37.771663944007
"2_ch4.wav","1-1",26.5929835809655,26.6180724756566
"2_ch4.wav","1-2",30.0084621486319,30.024573263469
"2_ch4.wav","1-3",36.7373748159208,36.7543192642839
"2_ch4.wav","1-4",37.7527083840676,37.7718194995985
