"Recording_ID","Genus","Specific_epithet","Subspecies","English_name","Recordist","Country","Locality","Latitude","Longitude","Vocalization_type","Audio_file","License","Url","Quality","Time","Date","Altitude","file.name","Spectrogram_small","Spectrogram_med","Spectrogram_large","Spectrogram_full","Length","Uploaded","Other_species","Remarks","Bird_seen","Playback_used","Other_species1","Other_species2","Other_species3","Other_species4"
"687234","Phaethornis","guy","","Green Hermit","Fabio Agudelo Zapata","Colombia","Distrito de Manejo Integrado Agua linda - Apía, Risaralda ",5.113,-75.9401,"adult, female, song","https://xeno-canto.org/687234/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/687234","A","06:30","2021-11-02","1700","XC687234-Phaethrtnis guy.mp3","//xeno-canto.org/sounds/uploaded/PQFEBUXHBX/ffts/XC687234-small.png","//xeno-canto.org/sounds/uploaded/PQFEBUXHBX/ffts/XC687234-med.png","//xeno-canto.org/sounds/uploaded/PQFEBUXHBX/ffts/XC687234-large.png","//xeno-canto.org/sounds/uploaded/PQFEBUXHBX/ffts/XC687234-full.png","0:45","2021-11-17","","","yes","no",NA,NA,NA,NA
"665512","Phaethornis","guy","coruscus","Green Hermit","Alexis Bukowski","Costa Rica","Monteverde, Provincia de Puntarenas",10.3064,-84.8075,"adult, male, song","https://xeno-canto.org/665512/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/665512","A","09:30","2021-07-17","1400","XC665512-GreenHermit.mp3","//xeno-canto.org/sounds/uploaded/FYGSIGNFEX/ffts/XC665512-small.png","//xeno-canto.org/sounds/uploaded/FYGSIGNFEX/ffts/XC665512-med.png","//xeno-canto.org/sounds/uploaded/FYGSIGNFEX/ffts/XC665512-large.png","//xeno-canto.org/sounds/uploaded/FYGSIGNFEX/ffts/XC665512-full.png","0:28","2021-07-29","","","yes","no",NA,NA,NA,NA
"541543","Phaethornis","guy","","Green Hermit","Kent Livezey","Panama","El Valle de Antón, Coclé Province",8.6001,-80.1251,"adult, song","https://xeno-canto.org/541543/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/541543","A","12:00","2019-12-15","600","XC541543-green hermit edited -6dB gaital 2019.12.15.mp3","//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC541543-small.png","//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC541543-med.png","//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC541543-large.png","//xeno-canto.org/sounds/uploaded/SZFQBBYSTI/ffts/XC541543-full.png","1:05","2020-04-04","","During a light rain.","yes","no",NA,NA,NA,NA
"518285","Phaethornis","guy","coruscus","Green Hermit","Hans Matheve","Costa Rica","Braulio Carillo NP, San José",10.1614,-83.9376,"song","https://xeno-canto.org/518285/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/518285","A","?","2019-01-30","480","XC518285-Green Hermit (song, Costa Rica, Braulio Carillo, jan2019, 1).mp3","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC518285-small.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC518285-med.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC518285-large.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC518285-full.png","0:51","2020-01-07","","","yes","no",NA,NA,NA,NA
"359439","Phaethornis","guy","coruscus","Green Hermit","Hans Matheve","Panama","Cerro Pirre (middle)",7.998,-77.7138,"song","https://xeno-canto.org/359439/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/359439","A","?","2016-12-15","600","XC359439-Green Hermit (song, Panama, Cerro Pirre mid, dec2016, 1).MP3","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC359439-small.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC359439-med.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC359439-large.png","//xeno-canto.org/sounds/uploaded/VROUALCTKG/ffts/XC359439-full.png","1:17","2017-03-17","","","yes","no",NA,NA,NA,NA
"344329","Phaethornis","guy","","Green Hermit","Hotel Tinamu","Colombia","Hotel Tinamú Birding Nature Reserve",5.0791,-75.6852,"song","https://xeno-canto.org/344329/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/344329","A","08:00","2016-08-19","1000","XC344329-Phaethornis guy.mp3","//xeno-canto.org/sounds/uploaded/UOMSQHKZSS/ffts/XC344329-small.png","//xeno-canto.org/sounds/uploaded/UOMSQHKZSS/ffts/XC344329-med.png","//xeno-canto.org/sounds/uploaded/UOMSQHKZSS/ffts/XC344329-large.png","//xeno-canto.org/sounds/uploaded/UOMSQHKZSS/ffts/XC344329-full.png","0:49","2016-11-28",NA,"Grabado por Juan Pablo Culasso
www.jpculasso.net

Understory secondary forest.","yes","no","Leptotila verreauxi","Pachyramphus polychopterus",NA,NA
"257788","Phaethornis","guy","apicalis","Green Hermit","John V. Moore","Ecuador","Zamora-Chinchipe: Río Bombuscaro",-4.108,-78.964,"song","https://xeno-canto.org/257788/download","//creativecommons.org/licenses/by-nc-sa/4.0/","//xeno-canto.org/257788","A","?","1997-11-00","1000","XC257788-50.006.01.Green_Hermit.mp3","//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257788-small.png","//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257788-med.png","//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257788-large.png","//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257788-full.png","0:34","2015-07-16","","<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Single bird","unknown","no",NA,NA,NA,NA
"238804","Phaethornis","guy","apicalis","Green Hermit","Niels Krabbe","Ecuador","Morona-Santiago: w-slope Cord. de Cutucú",-2.42,-78.06,"song","https://xeno-canto.org/238804/download","//creativecommons.org/licenses/by-nc-sa/3.0/","//xeno-canto.org/238804","A","8:10","2002-08-25","1325","XC238804-Phaethornis_guy85cut1A.mp3","//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238804-small.png","//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238804-med.png","//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238804-large.png","//xeno-canto.org/sounds/uploaded/XTVEPHMPPJ/ffts/XC238804-full.png","0:43","2015-05-01","","Humid forest. Reference: A: 564-596 (Phaguyy1). Krabbe & Nilsson (2003) (ISBN 90-75838-06-9).","yes","no",NA,NA,NA,NA
"227574","Phaethornis","guy","","Green Hermit","Peter Boesman","Peru","Abra Patricia road, San Martín",-5.6708,-77.6953,"song","https://xeno-canto.org/227574/download","//creativecommons.org/licenses/by-nc-nd/4.0/","//xeno-canto.org/227574","A","06:45","2008-01-04","","XC227574-Green Hermit A 3238.mp3","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227574-small.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227574-med.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227574-large.png","//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC227574-full.png","0:27","2015-03-23","","ID certainty 100%. (Archiv. tape 526 side A track 2 seq. A)","unknown","unknown",NA,NA,NA,NA
